[Parameters]
Operating Mode, Non-Feedback
0.111,0.039,0.281,-5.337
0.061,0.040,0.283,-5.337
0.133,0.040,0.284,-5.337
0.132,0.040,0.285,-5.337
0.113,0.041,0.282,-5.337
0.108,0.043,0.282,-5.337
0.194,0.043,0.284,-5.337
0.208,0.039,0.285,-5.337
0.113,0.035,0.281,-5.337
0.124,0.037,0.283,-5.337
0.211,0.042,0.284,-5.337
0.174,0.047,0.286,-5.337
0.152,0.042,0.287,-5.337
0.151,0.039,0.284,-5.337
0.149,0.038,0.280,-5.337
0.220,0.041,0.278,-5.337
0.186,0.043,0.277,-5.337
0.054,0.045,0.279,-5.337
-0.017,0.045,0.279,-5.337
0.017,0.043,0.279,-5.337
0.133,0.043,0.282,-5.337
0.167,0.041,0.284,-5.337
0.186,0.040,0.283,-5.337
0.228,0.037,0.282,-5.337
0.178,0.036,0.281,-5.337
0.164,0.035,0.280,-5.337
0.198,0.034,0.283,-5.337
0.238,0.034,0.281,-5.337
0.210,0.036,0.282,-5.337
0.158,0.040,0.283,-5.337
0.098,0.039,0.284,-5.337
0.101,0.036,0.284,-5.337
0.088,0.038,0.280,-5.337
0.098,0.036,0.281,-5.337
0.133,0.040,0.284,-5.337
0.091,0.039,0.286,-5.337
0.058,0.040,0.286,-5.337
0.043,0.041,0.283,-5.337
0.027,0.041,0.280,-5.337
0.034,0.038,0.277,-5.337
0.019,0.042,0.276,-5.337
0.010,0.044,0.279,-5.337
-0.018,0.042,0.281,-5.337
0.001,0.038,0.285,-5.337
0.093,0.035,0.284,-5.337
0.173,0.033,0.283,-5.337
0.172,0.039,0.281,-5.337
0.093,0.044,0.284,-5.337
0.073,0.044,0.286,-5.337
0.092,0.041,0.284,-5.337
0.111,0.040,0.282,-5.337
0.157,0.042,0.282,-5.337
0.117,0.043,0.283,-5.337
0.076,0.042,0.282,-5.337
0.120,0.038,0.283,-5.337
0.117,0.042,0.285,-5.337
0.070,0.040,0.284,-5.337
0.130,0.036,0.278,-5.337
0.065,0.037,0.278,-5.337
-0.048,0.039,0.279,-5.337
0.009,0.037,0.281,-5.337
0.090,0.034,0.284,-5.337
0.117,0.035,0.283,-5.337
0.082,0.037,0.277,-5.337
-0.006,0.036,0.276,-5.337
0.043,0.035,0.281,-5.337
0.147,0.034,0.286,-5.337
0.137,0.033,0.286,-5.337
0.133,0.034,0.284,-5.337
0.076,0.037,0.280,-5.337
0.034,0.040,0.279,-5.337
0.124,0.034,0.278,-5.337
0.156,0.034,0.280,-5.337
0.126,0.033,0.284,-5.337
0.097,0.033,0.287,-5.337
0.137,0.034,0.289,-5.337
0.184,0.037,0.287,-5.337
0.173,0.033,0.284,-5.337
0.107,0.032,0.284,-5.337
0.066,0.036,0.285,-5.337
0.036,0.039,0.286,-5.337
0.004,0.036,0.284,-5.337
0.021,0.033,0.281,-5.337
-0.006,0.036,0.278,-5.337
-0.018,0.041,0.278,-5.337
-0.043,0.041,0.280,-5.337
-0.034,0.039,0.277,-5.337
0.052,0.038,0.280,-5.337
0.105,0.039,0.283,-5.337
0.116,0.041,0.286,-5.337
0.141,0.040,0.281,-5.337
0.113,0.042,0.279,-5.337
0.119,0.039,0.280,-5.337
0.093,0.040,0.283,-5.337
0.045,0.039,0.284,-5.337
0.099,0.036,0.284,-5.337
0.116,0.036,0.282,-5.337
0.106,0.034,0.285,-5.337
0.154,0.032,0.287,-5.337
0.068,0.038,0.286,-5.337
-0.064,0.038,0.281,-5.337
0.011,0.037,0.281,-5.337
0.107,0.035,0.281,-5.337
0.143,0.035,0.282,-5.337
0.096,0.032,0.284,-5.337
0.010,0.035,0.284,-5.337
0.069,0.033,0.288,-5.337
0.201,0.034,0.292,-5.337
0.162,0.039,0.289,-5.337
0.063,0.038,0.282,-5.337
0.026,0.040,0.278,-5.337
0.078,0.040,0.274,-5.337
